# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
1.616037735849056673e+02,4.066542056074766265e+02,8.306666666666666288e+01,1.094495412844036650e+02,2.360366972477064280e+02,3.580000000000000000e+02,1.410769230769230660e+02
1.676037735849056673e+02,4.211775700934579163e+02,8.325714285714285268e+01,1.126422018348623908e+02,2.416697247706422047e+02,3.762452830188679513e+02,1.468076923076923208e+02
1.736226415094339757e+02,4.360934579439252161e+02,8.337142857142856656e+01,1.164036697247706371e+02,2.478348623853210881e+02,3.948679245283018986e+02,1.528846153846153868e+02
1.800000000000000000e+02,4.513271028037383417e+02,8.352380952380951840e+01,1.198715596330275162e+02,2.537614678899082605e+02,4.143584905660377444e+02,1.595769230769230660e+02
1.864905660377358458e+02,4.670093457943925159e+02,8.363809523809523228e+01,1.238532110091743164e+02,2.600550458715596278e+02,4.343962264150943611e+02,1.658076923076923208e+02
1.935849056603773590e+02,4.829532710280373635e+02,8.394285714285713595e+01,1.278715596330275162e+02,2.667155963302752184e+02,4.549245283018867667e+02,1.727884615384615472e+02
2.008301886792452819e+02,4.996074766355140468e+02,8.438095238095237960e+01,1.318532110091743164e+02,2.730091743119265857e+02,4.757547169811320487e+02,1.800192307692307736e+02
2.084716981132075375e+02,5.162242990654206096e+02,8.470476190476190936e+01,1.359082568807339442e+02,2.798715596330275162e+02,4.977169811320754889e+02,1.872500000000000000e+02
2.162641509433962312e+02,5.330280373831775478e+02,8.523809523809524080e+01,1.404587155963302791e+02,2.862752293577981391e+02,5.200566037735849250e+02,1.946346153846153868e+02
2.240943396226415132e+02,5.507102803738317789e+02,8.565714285714285836e+01,1.446972477064220186e+02,2.930642201834862135e+02,5.432452830188678945e+02,2.020192307692307736e+02
2.322452830188679229e+02,5.683738317757009781e+02,8.594285714285713595e+01,1.492660550458715534e+02,3.000550458715596278e+02,5.665849056603773306e+02,2.101923076923076792e+02
